,name,gp,min,pts,fgm,fga,fg,3p_made,3pa,3p,ftm,fta,ft,oreb,dreb,reb,ast,stl,blk,tov,target_5yrs
0,Brandon Ingram,36,27.4,7.4,2.6,7.6,34.7,0.5,2.1,25,1.6,2.3,69.9,0.7,3.4,4.1,1.9,0.4,0.4,1.3,0
1,Andrew Harrison,35,26.9,7.2,2,6.7,29.6,0.7,2.8,23.5,2.6,3.4,76.5,0.5,2,2.4,3.7,1.1,0.5,1.6,0
2,JaKarr Sampson,74,15.3,5.2,2,4.7,42.2,0.4,1.7,24.4,0.9,1.3,67,0.5,1.7,2.2,1,0.5,0.3,1,0
3,Malik Sealy,58,11.6,5.7,2.3,5.5,42.6,0.1,0.5,22.6,0.9,1.3,68.9,1,0.9,1.9,0.8,0.6,0.1,1,1
4,Matt Geiger,48,11.5,4.5,1.6,3,52.4,0,0.1,0,1.3,1.9,67.4,1,1.5,2.5,0.3,0.3,0.4,0.8,1
5,Tony Bennett,75,11.4,3.7,1.5,3.5,42.3,0.3,1.1,32.5,0.4,0.5,73.2,0.2,0.7,0.8,1.8,0.4,0,0.7,0
6,Don MacLean,62,10.9,6.6,2.5,5.8,43.5,0,0.1,50,1.5,1.8,81.1,0.5,1.4,2,0.6,0.2,0.1,0.7,1
7,Tracy Murray,48,10.3,5.7,2.3,5.4,41.5,0.4,1.5,30,0.7,0.8,87.5,0.8,0.9,1.7,0.2,0.2,0.1,0.7,1
8,Duane Cooper,65,9.9,2.4,1,2.4,39.2,0.1,0.5,23.3,0.4,0.5,71.4,0.2,0.6,0.8,2.3,0.3,0,1.1,0
9,Dave Johnson,42,8.5,3.7,1.4,3.5,38.3,0.1,0.3,21.4,1,1.4,67.8,0.4,0.7,1.1,0.3,0.2,0,0.7,0
10,Corey Williams,35,6.9,2.3,0.9,2.4,36.5,0,0.1,33.3,0.5,0.6,81.8,0.5,0.3,0.9,0.7,0.1,0.1,0.3,0
11,Sam Mack,40,6.7,3.6,1.2,3,39.8,0.1,0.6,13.6,1.1,1.5,77.6,0.5,0.8,1.2,0.4,0.3,0.1,0.6,1
12,Lorenzo Williams,27,6.6,1.3,0.6,1.3,47.2,0,0,0,0.1,0.3,28.6,0.6,1.4,2,0.2,0.2,0.6,0.3,1
13,P.J. Hairston,45,15.3,5.6,1.9,6,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2,0.5,0.5,0.3,0.5,0
14,Elmore Spencer,44,6.4,2.4,1,1.9,53.7,0,0,0,0.4,0.7,50,0.4,1,1.4,0.2,0.2,0.4,0.6,1
15,John Crotty,40,6.1,2.6,0.9,1.8,51.4,0.1,0.4,14.3,0.7,1,68.4,0.1,0.3,0.4,1.4,0.3,0,0.8,1
16,Stephen Howard,49,5.3,2.1,0.7,1.9,37.6,0,0,0,0.7,1.1,64.2,0.5,0.7,1.2,0.2,0.3,0.2,0.5,0
17,Randy Woods,41,4.2,1.7,0.6,1.6,34.8,0.1,0.3,21.4,0.5,0.6,73.1,0.1,0.2,0.3,1,0.3,0,0.4,0
18,Larry Johnson,82,37.2,19.2,7.5,15.3,49,0.1,0.3,22.7,4.1,5,82.9,3.9,7,11,3.6,1,0.6,1.9,0
19,Larry Johnson,82,37.2,19.2,7.5,15.3,49,0.1,0.3,22.7,4.1,5,82.9,3.9,7,11,3.6,1,0.6,1.9,1
20,Billy Owens,80,31.4,14.3,5.9,11.1,52.5,0,0.1,11.1,2.6,3.9,65.4,3,5,8,2.4,1.1,0.8,2.2,1
